CustomerID,ChurnStatus,Age,Gender,MaritalStatus,IncomeLevel,total_transactions,total_spent,avg_spend,unique_categories,LastLoginDate,LoginFrequency,ServiceUsage,unresolved_issues,total_interactions,days_since_last_login
1,0,62,M,Single,Low,1,416.5,416.5,1,2023-10-21,34,Mobile App,0.0,1.0,594
2,1,65,M,Married,Low,7,1547.4199999999998,221.05999999999997,4,2023-12-05,5,Website,0.0,1.0,549
3,0,18,M,Single,Low,6,1702.98,283.83,4,2023-11-15,3,Website,0.0,1.0,569
4,0,21,M,Widowed,Low,5,917.29,183.458,4,2023-08-25,2,Website,1.0,2.0,651
5,0,21,M,Divorced,Medium,8,2001.49,250.18625,3,2023-10-27,41,Website,0.0,0.0,588
6,0,57,F,Divorced,Medium,5,1164.29,232.858,4,2023-09-17,2,Website,0.0,1.0,628
7,0,27,F,Married,High,1,86.73,86.73,1,2023-01-07,32,Mobile App,0.0,0.0,881
8,1,37,M,Single,Low,7,2046.88,292.4114285714286,4,2023-04-22,17,Online Banking,2.0,2.0,776
9,0,39,M,Divorced,High,5,1317.24,263.448,3,2023-06-27,24,Website,0.0,1.0,710
10,1,68,M,Married,High,7,1397.36,199.62285714285713,4,2023-01-13,29,Online Banking,0.0,0.0,875
11,0,54,M,Divorced,Medium,5,1733.83,346.76599999999996,2,2023-01-22,30,Online Banking,1.0,2.0,866
12,0,41,F,Married,Low,1,87.1,87.1,1,2023-12-31,43,Website,1.0,2.0,523
13,0,24,F,Divorced,Low,3,392.02,130.67333333333332,3,2023-07-05,10,Mobile App,0.0,1.0,702
14,0,42,M,Widowed,Medium,9,2843.59,315.95444444444445,4,2023-01-10,26,Online Banking,1.0,2.0,878
15,0,42,M,Divorced,Medium,8,1914.02,239.2525,5,2023-06-15,44,Online Banking,2.0,2.0,722
16,1,30,F,Single,Medium,9,2019.79,224.42111111111112,4,2023-03-15,41,Online Banking,0.0,2.0,814
17,0,19,M,Married,Low,7,1625.27,232.18142857142857,5,2023-09-03,8,Online Banking,1.0,2.0,642
18,1,56,F,Married,High,5,951.3800000000001,190.276,3,2023-11-24,37,Website,1.0,1.0,560
19,0,57,F,Divorced,High,5,1017.26,203.452,3,2023-03-08,39,Online Banking,2.0,2.0,821
20,0,41,M,Single,Low,9,2775.85,308.42777777777775,5,2023-08-15,16,Website,0.0,1.0,661
21,0,64,M,Divorced,High,5,913.02,182.60399999999998,2,2023-06-16,18,Website,0.0,0.0,721
22,0,42,F,Divorced,Low,6,1582.73,263.78833333333336,4,2023-05-06,42,Mobile App,0.0,2.0,762
23,0,35,F,Divorced,Low,4,1490.74,372.685,2,2023-07-07,19,Mobile App,1.0,2.0,700
24,0,55,M,Widowed,Medium,5,1143.22,228.644,4,2023-10-04,12,Mobile App,0.0,1.0,611
25,0,43,F,Married,Low,3,764.77,254.92333333333332,2,2023-02-15,27,Mobile App,0.0,1.0,842
26,1,31,M,Single,Medium,3,571.76,190.58666666666667,3,2023-09-29,45,Mobile App,0.0,1.0,616
27,0,26,M,Widowed,Medium,8,2210.6,276.325,5,2023-10-01,22,Mobile App,1.0,1.0,614
28,0,27,F,Widowed,High,6,1702.26,283.71,3,2023-10-26,42,Online Banking,2.0,2.0,589
29,0,38,F,Divorced,Medium,3,853.0699999999999,284.3566666666666,2,2023-09-02,34,Website,1.0,2.0,643
30,0,69,M,Divorced,High,2,706.66,353.33,2,2023-07-12,38,Website,1.0,2.0,695
31,0,34,M,Divorced,Low,5,1108.56,221.712,3,2023-08-17,23,Online Banking,0.0,2.0,659
32,0,69,F,Married,High,5,1225.52,245.10399999999998,4,2023-01-06,48,Mobile App,0.0,0.0,882
33,1,23,M,Divorced,High,2,689.0,344.5,2,2023-05-19,24,Mobile App,0.0,1.0,749
34,0,33,M,Widowed,High,9,1886.4,209.60000000000002,4,2023-04-03,44,Online Banking,1.0,2.0,795
35,0,65,M,Married,Low,3,779.8399999999999,259.94666666666666,3,2023-05-23,19,Mobile App,1.0,1.0,745
36,0,18,F,Widowed,Low,6,1321.5500000000002,220.25833333333335,4,2023-02-11,6,Online Banking,0.0,1.0,846
