CustomerID,ChurnStatus,Age,total_transactions,total_spent,avg_spend,unique_categories,LastLoginDate,LoginFrequency,unresolved_issues,total_interactions,days_since_last_login,Gender_F,Gender_M,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Widowed,IncomeLevel_High,IncomeLevel_Low,IncomeLevel_Medium,ServiceUsage_Mobile App,ServiceUsage_Online Banking,ServiceUsage_Website
1,0,0.8627450980392156,0.0,0.1204594460109471,0.8347872493277776,0.0,2023-10-21,0.6874999999999999,0.0,0.5,0.19505494505494525,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2,1,0.9215686274509803,0.75,0.4554237850389783,0.4336295900983188,0.75,2023-12-05,0.08333333333333333,0.0,0.5,0.07142857142857162,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
3,0,0.0,0.625,0.5014987086226098,0.5624704940577597,0.75,2023-11-15,0.04166666666666667,0.0,0.5,0.1263736263736266,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
4,0,0.05882352941176472,0.5,0.26878717152809045,0.3564482029598308,0.75,2023-08-25,0.020833333333333332,0.5,1.0,0.35164835164835173,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
5,0,0.05882352941176472,0.875,0.5899136317323413,0.4934137605451671,0.5,2023-10-27,0.8333333333333333,0.0,0.0,0.1785714285714286,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6,0,0.7647058823529412,0.5,0.3419454778096344,0.45784601490178367,0.75,2023-09-17,0.020833333333333332,0.0,0.5,0.28846153846153855,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
7,0,0.17647058823529416,0.0,0.022785702438215295,0.15790553993308565,0.0,2023-01-07,0.6458333333333333,0.0,0.0,0.9835164835164838,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
8,1,0.37254901960784315,0.75,0.6033575812146056,0.5800846252415456,0.75,2023-04-22,0.3333333333333333,1.0,1.0,0.695054945054945,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
9,0,0.4117647058823529,0.5,0.3872473520839751,0.520634659988916,0.5,2023-06-27,0.4791666666666667,0.0,0.5,0.5137362637362639,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
10,1,0.9803921568627451,0.75,0.41097789256687917,0.38962798321570047,0.75,2023-01-13,0.5833333333333333,0.0,0.0,0.9670329670329674,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
